taxa,full_taxa_name,stressor,source,median,lower_95,upper_95,weight,allocation,production,,
catfish,catfish,P,total on- and off-farm,20.65773317,17.13473221,24.41621796,edible,economic,aquaculture,,
hypoph_carp,silver/bighead,P,total on- and off-farm,6.471497568,-0.238242637,13.34507656,edible,economic,aquaculture,,
milkfish,milkfish,P,total on- and off-farm,23.6254005,11.4991184,38.43362319,edible,economic,aquaculture,,
misc_diad,misc diadromous fishes,P,total on- and off-farm,36.94457473,9.280064405,74.02963039,edible,economic,aquaculture,,
misc_marine,misc marine fishes,P,total on- and off-farm,49.78133255,37.62509761,64.1077245,edible,economic,aquaculture,,
oth_carp,misc carps,P,total on- and off-farm,20.06941468,15.95850931,24.77487945,edible,economic,aquaculture,,
plants,plants,P,total on- and off-farm,-10.14396391,-21.93465466,1.468821283,edible,economic,aquaculture,,
salmon,salmon,P,total on- and off-farm,26.48276933,20.94792647,32.20333183,edible,economic,aquaculture,,
shrimp,shrimp,P,total on- and off-farm,23.90058911,20.59292118,27.282154,edible,economic,aquaculture,,
tilapia,tilapia,P,total on- and off-farm,24.28423984,21.37007035,27.23809139,edible,economic,aquaculture,,
trout,trout,P,total on- and off-farm,23.14280238,17.25961959,29.12758248,edible,economic,aquaculture,,
bivalves,bivalves,Water,total on- and off-farm,0,0,0,edible,economic,aquaculture,,
catfish,catfish,Water,total on- and off-farm,2042.273988,1269.004102,2839.614296,edible,economic,aquaculture,,
hypoph_carp,silver/bighead,Water,total on- and off-farm,9239.051662,7403.721211,11098.11438,edible,economic,aquaculture,,
oth_carp,misc carps,Water,total on- and off-farm,3439.458061,2460.007394,4433.633032,edible,economic,aquaculture,,
plants,plants,Water,total on- and off-farm,0,0,0,edible,economic,aquaculture,,
tilapia,tilapia,Water,total on- and off-farm,1190.214739,414.6054379,1983.645985,edible,economic,aquaculture,,
trout,trout,Water,total on- and off-farm,63.84450164,0,1037.154707,edible,economic,aquaculture,,
milkfish,milkfish,Water,total on- and off-farm,177.7039387,123.2065635,242.628174,edible,economic,aquaculture,,
misc_diad,misc diadromous fishes,Water,total on- and off-farm,154.0735994,60.94863273,331.5167587,edible,economic,aquaculture,,
misc_marine,misc marine fishes,Water,total on- and off-farm,251.6902491,188.2785329,335.7956532,edible,economic,aquaculture,,
salmon,salmon,Water,total on- and off-farm,87.0591164,74.11399672,100.652156,edible,economic,aquaculture,,
shrimp,shrimp,Water,total on- and off-farm,182.3274498,162.5399119,201.9495416,edible,economic,aquaculture,,
bivalves,bivalves,Land,total on- and off-farm,0,0,0,edible,economic,aquaculture,,
catfish,catfish,Land,total on- and off-farm,9604.027959,6726.78307,12504.88553,edible,economic,aquaculture,,
hypoph_carp,silver/bighead,Land,total on- and off-farm,7309.230956,827.8324591,13855.53831,edible,economic,aquaculture,,
milkfish,milkfish,Land,total on- and off-farm,14808.10832,7584.208944,22201.14115,edible,economic,aquaculture,,
misc_diad,misc diadromous fishes,Land,total on- and off-farm,4367.233631,-10002.88241,18091.80261,edible,economic,aquaculture,,
misc_marine,misc marine fishes,Land,total on- and off-farm,7414.426333,1453.498581,13400.22807,edible,economic,aquaculture,,
oth_carp,misc carps,Land,total on- and off-farm,9526.176301,5789.803058,13447.89742,edible,economic,aquaculture,,
plants,plants,Land,total on- and off-farm,0,0,0,edible,economic,aquaculture,,
salmon,salmon,Land,total on- and off-farm,3366.451327,289.9729394,6547.418858,edible,economic,aquaculture,,
shrimp,shrimp,Land,total on- and off-farm,12294.68683,9916.104823,14633.97992,edible,economic,aquaculture,,
tilapia,tilapia,Land,total on- and off-farm,14411.45474,11627.28608,17193.56941,edible,economic,aquaculture,,
trout,trout,Land,total on- and off-farm,3008.689878,-740.9707438,6577.434025,edible,economic,aquaculture,,
bivalves,bivalves,GHG,total on- and off-farm,646.0795521,0,1585.905541,live,economic,aquaculture,,
catfish,catfish,GHG,total on- and off-farm,3219.798665,2816.523381,3711.006341,live,economic,aquaculture,,
hypoph_carp,silver/bighead,GHG,total on- and off-farm,1384.946442,700.7254136,2375.889385,live,economic,aquaculture,,
milkfish,milkfish,GHG,total on- and off-farm,2536.751977,1705.590866,3713.169046,live,economic,aquaculture,,
misc_diad,misc diadromous fishes,GHG,total on- and off-farm,7640.587331,5345.2399,9941.271211,live,economic,aquaculture,,
misc_marine,misc marine fishes,GHG,total on- and off-farm,3934.66634,2971.01587,5021.768035,live,economic,aquaculture,,
oth_carp,misc carps,GHG,total on- and off-farm,2697.293227,2203.643968,3247.121508,live,economic,aquaculture,,
plants,plants,GHG,total on- and off-farm,653.3221123,0,1496.413297,live,economic,aquaculture,,
salmon,salmon,GHG,total on- and off-farm,1753.545119,1332.687608,2273.644029,live,economic,aquaculture,,
shrimp,shrimp,GHG,total on- and off-farm,4449.74797,3998.264781,4903.853851,live,economic,aquaculture,,
tilapia,tilapia,GHG,total on- and off-farm,3259.916048,2755.728047,3791.775669,live,economic,aquaculture,,
trout,trout,GHG,total on- and off-farm,2143.417518,1512.952291,2775.980398,live,economic,aquaculture,,
bivalves,bivalves,N,total on- and off-farm,-26.0746619,-58.96040625,5.371952612,live,economic,aquaculture,,
catfish,catfish,N,total on- and off-farm,70.42774405,59.45007862,81.81359334,live,economic,aquaculture,,
hypoph_carp,silver/bighead,N,total on- and off-farm,22.74496118,0.340855049,45.46135631,live,economic,aquaculture,,
milkfish,milkfish,N,total on- and off-farm,95.04793026,61.22486538,129.9874159,live,economic,aquaculture,,
misc_diad,misc diadromous fishes,N,total on- and off-farm,78.05874352,22.0182644,139.328747,live,economic,aquaculture,,
misc_marine,misc marine fishes,N,total on- and off-farm,120.1758643,94.5727031,145.5793223,live,economic,aquaculture,,
oth_carp,misc carps,N,total on- and off-farm,78.00432298,65.70638542,90.72331994,live,economic,aquaculture,,
plants,plants,N,total on- and off-farm,-26.98883713,-71.49362185,18.63395181,live,economic,aquaculture,,
salmon,salmon,N,total on- and off-farm,64.05404918,50.36399851,77.95543715,live,economic,aquaculture,,
shrimp,shrimp,N,total on- and off-farm,69.68764881,60.26441806,79.22666095,live,economic,aquaculture,,
tilapia,tilapia,N,total on- and off-farm,74.0071862,63.82979657,83.9262283,live,economic,aquaculture,,
trout,trout,N,total on- and off-farm,58.00793204,42.41422946,73.19233862,live,economic,aquaculture,,
bivalves,bivalves,P,total on- and off-farm,-4.86176253,-12.5853318,2.632691639,live,economic,aquaculture,,
catfish,catfish,P,total on- and off-farm,11.19849318,9.34798041,13.15472119,live,economic,aquaculture,,
hypoph_carp,silver/bighead,P,total on- and off-farm,3.544918744,0.007399378,7.283659003,live,economic,aquaculture,,
milkfish,milkfish,P,total on- and off-farm,15.92078381,9.136273546,24.97795138,live,economic,aquaculture,,
misc_diad,misc diadromous fishes,P,total on- and off-farm,19.57460934,5.356453837,39.50083377,live,economic,aquaculture,,
misc_marine,misc marine fishes,P,total on- and off-farm,26.13392021,19.46017612,33.25775023,live,economic,aquaculture,,
oth_carp,misc carps,P,total on- and off-farm,10.81184393,8.702671787,13.18293559,live,economic,aquaculture,,
plants,plants,P,total on- and off-farm,-18.22043824,-28.85478641,-7.275874954,live,economic,aquaculture,,
