,count (lca observations),LCA_Category,Product_details,LCA_sub_category,LCA_sub_sub_category,Search_terms,Search_order,Average_of_original_category,Search_terms_sub,Search_order_sub,Average_of_sub_category
66,2,Nuts,Pistachios,Other nuts,Pistachios,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,pista,4,yes
67,3,Nuts,Walnuts,Other nuts,Walnuts,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,walnut,5,yes
0,0,Nuts,Nuts,Other nuts,Other nuts,\bpecan(s)?\b|\bpistachio(s)?\b|\bpistachio(es)?\b|\bwalnut(s)?\b|\bchestnut(s)?\b|\bhazel(\s)?nut(s)?\b|\bcashew(s)?\b|\bmacadamianut(s)?\b|\bmacadamia(s)?\b|\bfilbert(s)?\b|\bbrazil(\s)?nut(s)?\b|\bparanut(s)?\b|\bmixed nut(s)?\b|\bmixednut(s)?\b|\bpine nut(s)?\b|\bpinenut(s)?\b|\bnut(s)?\b|\bnuts and seeds\b|\bgroundalmond(s)?\b|roastedalmond|blanchedalmond(s)?|choppedalmond(s)?|almond(s)\b|pistachio(nut)?|pistachionuts|choppedwalnuts|\bhazelnut(s)?|hazelnut(s)?\b|pine kernels\b|\bwalnut(s)?|\bwalnut p|\bwalnut h||\bwalnut o|hazelnutchips|walnuts\b|pistachio\b|roastedhazelnut|hazelnutpaste|walnut(s)?|hazelnutsand|hazelnut p|hazelnut f|hazelnut c|hazelnut b|hazelnut s|hazelnut h|smokedcashew|pecannut|slidenut|cashewnut|choppednut|nuts[0-9]|nutmix|nutpremix|hazlenutpaste|AustralianMacadamia|brazil nut|candlenut|cashewnut|slicednuts|hazelnutpaste|slicednuts|\balmond\b|almonds\b|almond butter|almond meal|almond nuts|almond paste|almond praline|almond[0-9]|almondbase|almondbutter|almondchopped|almondflake|almondpaste|almondpiece|almondpowder|\balmonds\b|almonds*|almonds#|almonds[0-9]|almondallergy|almondslice|blanched almond|blanchedalmond|caramelisedalmonds|chopped almond|roastedalmond|choppedalmond|european almond|flaked almond|flakedalmond|ground almond|groundalmond|smoked almond|smokedalmond|roasted almond|roastedalmond|almonds\b|inskinalmond|coated almond|nibedalmond|organic almond|organicalmond|italianalmond|raw almonds|marconaalmond|saltedalmond|wholealmond|flakes almond|flaked almond,2,,,6,yes
68,10,Oatmeal,Oats,Oatmeal,,,2,yes,,,
0,0,Oatmeal,Oats,Oatmilk,,\bmilk|\bdrink,1,yes,,,
69,5,Olive Oil,Extra virgin olive oil,Olive Oil,,\boil,1,,,,
70,1,Olive Oil,"Extra virgin olive oil (""GranFruttato"")",Olive Oil,,\boil,1,,,,
71,1,Olive Oil,Olive oil,Olive Oil,,\boil,1,,,,
72,5,Olive Oil,Olives,Olives,,,2,,,,
73,2,Olive Oil,Virgin olive oil,Olive Oil,,\boil,1,,,,
